,Issuer Name,Security Id,Security Name,Industry,Sector Name,Industry,Igroup Name,Sector,,Index
,Bloom Industries Ltd,BLOIN,BLOOM INDUSTRIES LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Maitri Enterprises Limited,MAITRI,Maitri Enterprises Ltd,Aluminium,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,,
,Tata Metaliks Ltd,TATAMETALI,TATA METALIKS LTD.,Pig Iron,Commodities,Metals & Mining,Ferrous Metals,Pig Iron,,
,Shah Alloys Limited,SHAHALLOYS,SHAH ALLOYS LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,JSW ISPAT SPECIAL PRODUCTS LIMITED,JSWISPL,JSW Ispat Special Products Ltd,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Elango Industries Ltd,ELANGO,ELANGO INDUSTRIES LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Kanishk Steel Industries Ltd,KANSHST,KANISHK STEEL INDUSTRIES LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Mahalaxmi Seamless Ltd.,MAHALXSE,MAHALAXMI SEAMLESS LTD.-$,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Simplex Castings Ltd.,SIMPLEXCAS,SIMPLEX CASTINGS LTD.,Other Industrial Products,Industrials,Capital Goods,Industrial Products,Other Industrial Products,,
,Shree Steel Wire Ropes Ltd.,SSWRL,SHREE STEEL WIRE ROPES LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Southern Magnesium And Chemicals Lt,SOUTHMG,SOUTHERN MAGNESIUM & CHEMICALS LTD.,Industrial Minerals,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,,
,Baroda Extrusion Ltd.,BAROEXT,BARODA EXTRUSION LTD.,Aluminium- Copper & Zinc Products,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products",,
,Gujarat Containers Ltd.,GUJCONT,GUJARAT CONTAINERS LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Kalyani Forge Ltd.,KALYANIFRG,KALYANI FORGE LTD.,Castings & Forgings,Industrials,Capital Goods,Industrial Products,Castings & Forgings,,
,Panchmahal Steel Ltd.,PANCHMAHQ,PANCHMAHAL STEEL LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Aditya Ispat Ltd.,ADITYA,ADITYA ISPAT LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Steelcast Ltd.,STEELCAS,STEELCAST LTD.,Castings & Forgings,Industrials,Capital Goods,Industrial Products,Castings & Forgings,,
,PITTI ENGINEERING LIMITED,PITTIENG,Pitti Engineering Ltd-$,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,Glittek Granites Ltd.,GLITTEKG,GLITTEK GRANITES LTD.,Other Construction Materials,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials,,
,Pradeep Metals Ltd.,PRADPME,PRADEEP METALS LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,Gujarat Natural Resources Limited,GNRL,Gujarat Natural Resources Limited,Oil Exploration & Production,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,,
,Sharda Ispat Ltd.,SHRDAIS,SHARDA ISPAT LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Mahamaya Steel Industries Limited,MAHASTEEL,MAHAMAYA STEEL INDUSTRIES LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Sterling Powergensys Limited,STERPOW,Sterling Powergensys Limited,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,Foundry Fuel Products Ltd.,FFPL,FOUNDRY FUEL PRODUCTS LTD.,Coal,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,Coal,,
,Hindustan Copper Ltd.,HINDCOPPER,HINDUSTAN COPPER LTD.,Copper,Commodities,Metals & Mining,Non - Ferrous Metals,Copper,,
,Tulsyan NEC Ltd,TULSYAN,TULSYAN NEC LTD.-$,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Axel Polymers Ltd.,AXELPOLY,AXEL POLYMERS LTD.,Plastic Products - Industrial,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,
,NLC India Limited,NLCINDIA,NLC India Ltd,Power Generation,Utilities,Power,Power,Power Generation,,
,Spectra Industries Ltd.,SPECTRA,SPECTRA INDUSTRIES LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,KIC Metaliks Ltd.,KAJARIR,KIC METALIKS LTD.,Iron & Steel,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,,
,Solid Stone Company Ltd.,SOLIDSTON,SOLID STONE COMPANY LTD.,Other Construction Materials,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials,,
,Shilp Gravures Ltd.,SHILGRAVQ,SHILP GRAVURES LTD.-$,Aluminium- Copper & Zinc Products,Industrials,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products",,
,White Organic Agro Limited,WHITEORG,White Organic Agro Ltd,Other Agricultural Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,,
,MFS Intercorp Limited,MFSINTRCRP,MFS INTERCORP LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,Aro Granite Industries Ltd.,AROGRANITE,ARO GRANITE INDUSTRIES LTD.-$,Granites & Marbles,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,,
,"Himachal Fibres Ltd.,",HIMFIBP,HIMACHAL FIBRES LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Rajkamal Synthetics Ltd.,RAJKSYN,RAJKAMAL SYNTHETICS LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,"Deepak Spinners Ltd.,",DEEPAKSP,DEEPAK SPINNERS LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Loyal Textiles Mills Ltd,LOYALTEX,LOYAL TEXTILE MILLS LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,"Himatsingka Seide Ltd.,",HIMATSEIDE,HIMATSINGKA SEIDE LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,"BSL Ltd.,",BSL,BSL LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Evergreen Textiles Limited,EVERTEX,Evergreen Textiles Limited,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,"P.B.M. Polytex Ltd.,",PBMPOLY,PBM POLYTEX LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,"Adinath Textiles Ltd.,",ADINATH,ADINATH TEXTILES LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Konark Synthetics Ltd,KONARKSY,KONARK SYNTHETIC LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,"Suryalata Spinning Mills Ltd.,",SURYALA,SURYALATA SPINNING MILLS LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,"Suryavanshi Spinning Mills Ltd.,",SURYVANSP,SURYAVANSHI SPINNING MILLS LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,T T Ltd,TTL,T T LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Welspun India Ltd,WELSPUNIND,WELSPUN INDIA LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Indian Acrylics Ltd,INDIANACRY,INDIAN ACRYLICS LTD.,Petrochemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,,
,Ganesha Ecosphere Limited,GANECOS,GANESHA ECOSPHERE LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Ceeta Industries Ltd.,CEETAIN,CEETA INDUSTRIES LTD.,Packaged Foods,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,,
,"Vardhman Polytex Ltd.,",VARDMNPOLY,VARDHMAN POLYTEX LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Black Rose Industries Ltd,BLACKROSE,BLACK ROSE INDUSTRIES LTD.,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,
,S & T Corporation Limited,STCORP,S&T CORPORATION LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Sumeet Industries Ltd,SUMEETINDS,SUMEET INDUSTRIES LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,"Binny Ltd.,",BINNY,BINNY LTD.,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,Ramgopal Polytex Ltd,RAMGOPOLY,RAMGOPAL POLYTEX LTD.,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Sangam (India) Ltd,SANGAMIND,SANGAM (INDIA) LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,TTL ENTERPRISES LIMITED,TTLEL,TTL Enterprises Ltd,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,MKVENTURES CAPITAL LIMITED,MKVENTURES,Mkventures Capital Ltd,Investment Company,Financial Services,Financial Services,Finance,Investment Company,,
,Kush Industries Limited,KUSHIND,Kush Industries Ltd,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Sree chem Resins Ltd,SRECR,SREECHEM RESINS LTD.,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,
,Surbhi Industries Limited,SURBHIN,SURBHI INDUSTRIES LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Seasons Textiles Ltd,SEASONST,SEASONS TEXTILES LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Zenith Fibres Limited,ZENIFIB,ZENITH FIBRES LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Bhilwara Spinners Ltd,BHILSPIN,BHILWARA SPINNERS LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,"Aarvee Denims & Exports Ltd.,",AARVEEDEN,AARVEE DENIMS & EXPORTS LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Sanrhea Technical Textiles Ltd.,SANTETX,SANRHEA TECHNICAL TEXTILES LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Ashima Ltd,ASHIMASYN,ASHIMA LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Pioneer Embroideries Ltd.,PIONEEREMB,PIONEER EMBROIDERIES LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Vippy Spinpro Ltd.,VIPPYSP,VIPPY SPINPRO LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Jaihind Synthetics Ltd.,JAIHINDS,JAIHIND SYNTHETICS LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Raghuvir Synthetics Ltd.,RAGHUSYN,RAGHUVIR SYNTHETICS LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Jattashankar Industries Limited,JATTAINDUS,JATTASHANKAR INDUSTIES LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Kamadgiri Fashion Limited,KAMADGIRI,KAMADGIRI FASHION LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Patspin India Ltd.,PATSPINLTD,PATSPIN INDIA LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,ONE GLOBAL SERVICE PROVIDER LIMITED,ONEGLOBAL,One Global Service Provider Ltd,Healthcare Service Provider,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,,
,Neo Infracon Ltd.,NEOINFRA,NEO INFRACON LTD.,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,GENESIS IBRC INDIA LIMITED,GENESIS,Genesis Ibrc India Ltd,Biotechnology,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,,
,Premier Polyfilm Ltd.,PREMIERPOL,PREMIER POLYFILM LTD.,Plastic Products - Industrial,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,
,EVERLON FINANCIALS LIMITED,EVERFIN,Everlon Financials Ltd,Non Banking Financial Company (NBFC),Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,
,K&R RAIL ENGINEERING LIMITED,KRRAIL,K&R Rail Engineering Ltd,Civil Construction,Industrials,Construction,Construction,Civil Construction,,
,Yarn Syndicate Ltd.,YARNSYN,YARN SYNDICATE LTD.,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Gujarat Cotex Ltd,GUJCOTEX,GUJARAT COTEX LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Garware Synthetics Ltd.,GARWSYN,GARWARE SYNTHETICS LTD.,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,SARUP INDUSTRIES LIMITED,SARUPINDUS,SARUP INDUSTRIES LTD.-$,Gems- Jewellery And Watches,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",,
,Mangalam Organics Limited,MANORG,Mangalam Organics Limited,Commodity Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,,
,Hindustan Adhesives Ltd.,HINDADH,HINDUSTAN ADHESIVES LTD.,Plastic Products - Industrial,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,
,Sri KPR Industries Ltd,SRIKPRIND,SRI KPR INDUSTRIES LTD.,Plastic Products - Industrial,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,
,"Jyoti Resins & Adhesives Ltd,",JYOTIRES,JYOTI RESINS & ADHESIVES LTD.,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,
,Mahalaxmi Rubtech Ltd.,MHLXMIRU,MAHALAXMI RUBTECH LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Southern Latex Ltd.,SOUTLAT,SOUTHERN LATEX LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Winsome Textile Industries Ltd,WINSOMTX,WINSOME TEXTILE INDUSTRIES LTD.-$,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,"Modern Insulators Ltd.,",MODINSU,MODERN INSULATORS LTD.,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,,
,Regency Ceramics Ltd,REGENCERAM,REGENCY CERAMICS LTD.,Ceramics,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,,
,Asahi India Glass Ltd.,ASAHIINDIA,ASAHI INDIA GLASS LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,"Murudeshwar Ceramics Ltd.,",MURUDCERA,MURUDESHWAR CERAMICS LTD.,Ceramics,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,,
,Saint-Gobain Sekurit India Ltd.,SAINTGOBAIN,SAINT-GOBAIN SEKURIT INDIA LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,Anant Raj Limited,ANANTRAJ,Anant Raj Limited-$,Residential- Commercial Projects,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",,
,"Madhusudan Industries Ltd.,",MADHUDIN,MADHUSUDAN INDUSTRIES LTD.,Edible Oil,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,,
,Restile Ceramics Ltd.,RESTILE,RESTILE CERAMICS LTD.,Ceramics,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,,
,"Madhav Marbles & Granites Ltd.,",MADHAV,MADHAV MARBLES & GRANITES LTD.,Granites & Marbles,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,,
,Ramasigns Industries Limited,RAMASIGNS,Ramasigns Industries Ltd,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Haldyn Glass Limited,HALDYNGL,Haldyn Glass Ltd-$,Packaging,Industrials,Capital Goods,Industrial Products,Packaging,,
,DUROPLY INDUSTRIES LIMITED,DUROPLY,Duroply Industries Ltd,Plywood Boards/ Laminates,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,,
,"Shreyans Industries Limited.,",SHREYANIND,SHREYANS INDUSTRIES LTD.-$,Paper & Paper Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,,
,Agio Paper & Industries Limited,AGIOPAPER,AGIO PAPER & INDUSTRIES LTD.-$,Paper & Paper Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,,
,Star Paper Mills Ltd.,STARPAPER,STAR PAPER MILLS LTD.,Paper & Paper Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,,
,YASH PAKKA LIMITED,YASHPAKKA,Yash Pakka Ltd-$,Paper & Paper Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,,
,National Plywood Industries Ltd.,NATPLY,NATIONAL PLYWOOD INDUSTRIES LTD.,Forest Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Forest Products,,
,Arrow Greentech Limited,ARROWGREEN,Arrow Greentech Ltd,Packaging,Industrials,Capital Goods,Industrial Products,Packaging,,
,Vishnu Chemicals Limited,VISHNU,VISHNU CHEMICALS LTD.,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,
,Jumbo Bag ltd.,JUMBO,JUMBO BAG LTD.,Packaging,Industrials,Capital Goods,Industrial Products,Packaging,,
,N.R.Agarwal Industries Ltd.,NRAGRINDQ,N.R.AGARWAL INDUSTRIES LTD.,Paper & Paper Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,,
,3P LAND HOLDINGS LTD.,3PLAND,3P Land Holdings Ltd,Investment Company,Financial Services,Financial Services,Finance,Investment Company,,
,Sangal Papers Ltd.,SANPA,SANGAL PAPERS LTD.,Paper & Paper Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,,
,Ventura Textiles Ltd.,VENTURA,VENTURA TEXTILES LTD.,Other Textile Products,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,,
,Shree Karthik Papers Ltd.,SHKARTP,SHREE KARTHIK PAPERS LTD.,Paper & Paper Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,,
,South India Paper Mills Ltd.,STHINPA,SOUTH INDIA PAPER MILLS LTD.,Paper & Paper Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,,
,FAMILY CARE HOSPITALS LIMITED,FAMILYCARE,Family Care Hospitals Ltd,Healthcare Service Provider,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider,,
,"Vindhya Telelinks Ltd.,",VINDHYATEL,VINDHYA TELELINKS LTD.,Telecom - Infrastructure,Telecommunication,Telecommunication,Telecom - Services,Telecom - Infrastructure,,
,RIR POWER ELECTRONICS LIMITED,RIR,RIR Power Electronics Ltd,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,,
,Ador Welding Ltd.,ADORWELD,ADOR WELDING LTD.,Other Industrial Products,Industrials,Capital Goods,Industrial Products,Other Industrial Products,,
,International Data Managements Ltd.,IDM,INTERNATIONAL DATA MANAGEMENT LTD.,Consulting Services,Services,Services,Commercial Services & Supplies,Consulting Services,,
,"Salzer Electronics Ltd.,",SALZER,SALZER ELECTRONICS LTD.-$,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,,
,Jetking Infotrain Ltd.,JETKINGQ,JETKING INFOTRAIN LTD.,E-Learning,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning,,
,PCS Technology Ltd.,PCS,PCS TECHNOLOGY LTD.,IT Enabled Services,Information Technology,Information Technology,IT - Services,IT Enabled Services,,
,Usha Martin Ltd.,USHAMART,USHA MARTIN LTD.,Iron & Steel Products,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,
,SPEL Semiconductor Ltd.,SPELS,SPEL SEMICONDUCTOR LTD.,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,,
,"Subros Ltd.,",SUBROS,SUBROS LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,Edvenswa Enterprises Limited,EDVENSWA,Edvenswa Enterprises Ltd,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,,
,Pervasive Commodities Limited,PERVASIVE,Pervasive Commodities Ltd,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Honeywell Automation India Ltd.,HONAUT,HONEYWELL AUTOMATION INDIA LTD.,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,Switching Technologies Gunther Ltd.,SWITCHTE,SWITCHING TECHNOLOGIES GUNTHER LTD.,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,,
,"Lumax Industries Ltd.,",LUMAXIND,LUMAX INDUSTRIES LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,DIGISPICE TECHNOLOGIES LIMITED,DIGISPICE,Digispice Technologies Ltd-$,IT Enabled Services,Information Technology,Information Technology,IT - Services,IT Enabled Services,,
,PAE LTd.,PAEL,PAE LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,"Calcom Vision Ltd.,",CALCOM,CALCOM VISION LTD.,Consumer Electronics,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,,
,Dynavision Limited,DYNAVSN,DYNAVISION LTD.,Diversified Commercial Services,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,,
,"BCC Fuba India Ltd.,",BCCFUBA,BCC FUBA INDIA LTD.,Computers Hardware & Equipments,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,,
,"Precision Electronics Ltd.,",PRECISIO,PRECISION ELECTRONICS LTD.,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,Fine-line Circuits Ltd.,FINELINE,FINE-LINE CIRCUITS LTD.,Computers Hardware & Equipments,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,,
,HBL Power Systems Ltd.,HBLPOWER,HBL POWER SYSTEMS LTD.-$,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,Gujarat Poly Electronics Limited,GUJARATPOLY,Gujarat Poly Electronics Ltd,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,,
,Gujarat Industries Power Co. Ltd,GIPCL,GUJARAT INDUSTRIES POWER CO.LTD.,Power Generation,Utilities,Power,Power,Power Generation,,
,CMI Limited,CMI,CMI LTD.,Cables - Electricals,Industrials,Capital Goods,Industrial Products,Cables - Electricals,,
,Samvardhana Motherson International Limited,MOTHERSON,Samvardhana Motherson International Ltd,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,Mindteck (India) Ltd,MINDTECK,MINDTECK (INDIA) LTD.,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,,
,Havells India Limited,HAVELLS,HAVELLS INDIA LTD.,Consumer Electronics,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,,
,ACI Infocom Ltd.,ACIIN,ACI INFOCOM LTD.,Computers Hardware & Equipments,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,,
,SBEC Systems (Ind) Ltd.,SBECSYS,SBEC SYSTEMS (INDIA) LTD.,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Incap Ltd,INCAP,INCAP LTD.,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,,
,Gujarat Intrux Limited,GUJINTRX,GUJARAT INTRUX LTD.-$,Castings & Forgings,Industrials,Capital Goods,Industrial Products,Castings & Forgings,,
,Igarashi Motors India Ltd.,IGARASHI,IGARASHI MOTORS INDIA LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,Symphony Limited,SYMPHONY,Symphony Limited,Consumer Electronics,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,,
,Vintron Informatics Ltd.,VINTRON,VINTRON INFORMATICS LTD.,Computers Hardware & Equipments,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,,
,Pan Electronics India Ltd.,PANELEC,PAN ELECTRONICS INDIA LTD.,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,VXL Instruments Ltd.,VXLINSTR,VXL INSTRUMENTS LTD.,Consumer Electronics,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,,
,Shyam Telecom Ltd.,SHYAMTEL,SHYAM TELECOM LTD.,Trading & Distributors,Services,Services,Commercial Services & Supplies,Trading & Distributors,,
,Lee & Nee Softwares (Exports) Ltd.,LEENEE,LEE & NEE SOFTWARES (EXPORTS) LTD.,IT Enabled Services,Information Technology,Information Technology,IT - Services,IT Enabled Services,,
,Patels Airtemp (I) Ltd.,PATELSAI,PATELS AIRTEMP (INDIA) LTD.,Industrial Products,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,,
,Butterfly Gandhimathi Appliances Limited,BUTTERFLY,Butterfly Gandhimathi Appliances Ltd,Household Appliances,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,,
,Integra Switchgear Ltd.,INTEGSW,INTEGRA SWITCHGEAR LTD.,Other Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,,
,Athena Global Technologies Limited,ATHENAGLO,Athena Global Technologies Ltd-$,Computers - Software & Consulting,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,,
,Narmada Macplast Drip Irrigation Sy,NARMP,NARMADA MACPLAST DRIP IRRIGATION SYSTEMS LTD.,Plastic Products - Industrial,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,,
