,Issuer Name,Security Id,Security Name,Industry,Sector Name,Industry,Igroup Name,Sector,,Index
,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,Auto Components & Equipments,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,,
,"Cipla Ltd.,",CIPLA,CIPLA LTD.,Pharmaceuticals,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,
,DIC India Ltd,DICIND,DIC INDIA LTD.,Printing Inks,Commodities,Chemicals,Chemicals & Petrochemicals,Printing Inks,,
,CRISIL Ltd.,CRISIL,CRISIL LTD.,Other Financial Services,Financial Services,Financial Services,Finance,Other Financial Services,,
,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Heavy Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,,
,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Personal Care,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,,
,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Sugar,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,,
,"Arvind Ltd.,",ARVIND,ARVIND LTD.,Garments & Apparels,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,,
,"Ballarpur Industries Ltd.,",BALLARPUR,BALLARPUR INDUSTRIES LTD.,Paper & Paper Products,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,,
,"Bharat Heavy Electricals Ltd.,",BHEL,BHARAT HEAVY ELECTRICALS LTD.,Heavy Electrical Equipment,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,,
,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Refineries & Marketing,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,,
,IFCI Ltd.,IFCI,IFCI LTD.,Financial Institution,Financial Services,Financial Services,Finance,Financial Institution,,
,Mahanagar Telephone Nigam Ltd.,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Telecom - Cellular & Fixed line services,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,,
,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Refineries & Marketing,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,,
,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Refineries & Marketing,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,,
,Reliance Capital Limited,RELCAPITAL,RELIANCE CAPITAL LTD.,Investment Company,Financial Services,Financial Services,Finance,Investment Company,,
,"State Bank Of India,",SBIN,STATE BANK OF INDIA,Public Sector Bank,Financial Services,Financial Services,Banks,Public Sector Bank,,
,"Steel Authority of India Ltd.,",SAIL,STEEL AUTHORITY OF INDIA LTD.,Iron & Steel,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,,
,Titan Company Limited,TITAN,Titan Company Limited,Gems- Jewellery And Watches,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",,
,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,Private Sector Bank,Financial Services,Financial Services,Banks,Private Sector Bank,,
,"DCW Ltd.,",DCW,DCW LTD.,Petrochemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,,
,"Dhampur Sugar Mills Ltd.,",DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Sugar,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,,
,"Diamines & Chemicals Ltd.,",DIAMINESQ,DIAMINES & CHEMICALS LTD.-$,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,
,Elantas Beck India Ltd,ELANTAS,ELANTAS BECK INDIA LTD.-$,Specialty Chemicals,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,,
